,Teams
0,Halifax
1,Southend
2,Chesterfield
3,Barnet
4,Tottenham
5,Scunthorpe
6,Lincoln
7,Shrewsbury
8,Birmingham
9,Newcastle
10,Morecambe
11,Newport County
12,Sutton
13,Bolton
14,Cambridge
15,Bristol Rvs
16,Everton
17,Fylde
18,Colchester
19,Tamworth
20,Rushden & D
21,Notts County
22,Salford
23,Eastleigh
24,Eastbourne Borough
25,Carlisle
26,Yeovil
27,York
28,Norwich
29,Welling United
30,Exeter
31,Burton
32,Dover Athletic
33,Telford United
34,Middlesbrough
35,Huddersfield
36,Weymouth
37,Harrogate
38,Alfreton Town
39,Swindon
40,Aldershot
41,Reading
42,Macclesfield
43,Chester
44,Aston Villa
45,Chorley
46,Hereford
47,West Brom
48,Leicester
49,Kidderminster
50,Wrexham
51,North Ferriby
52,AFC Wimbledon
53,Rochdale
54,Dartford
55,Chelsea
56,Blackpool
57,Gillingham
58,Nuneaton Town
59,Bury
60,Crewe
61,Sheffield United
62,Grimsby
63,Blackburn
64,Oldham
65,Bath City
66,Ipswich
67,Brentford
68,Arsenal
69,Swansea
70,Dorking
71,Nott'm Forest
72,Hull
73,Hyde United
74,Altrincham
75,Sunderland
76,Wycombe
77,Kettering Town
78,Guiseley
79,Hartlepool
80,Barrow
81,Liverpool
82,Boreham Wood
83,Cardiff
84,Wolves
85,Milton Keynes Dons
86,Fulham
87,Southampton
88,Ebbsfleet
89,Torquay
90,Southport
91,Accrington
92,Histon
93,Luton
94,Northampton
95,Crystal Palace
96,Man City
97,Doncaster
98,Kings Lynn
99,QPR
100,Braintree Town
101,Derby
102,Tranmere
103,Crawley Town
104,Salisbury
105,Woking
106,Rotherham
107,Port Vale
108,Peterboro
109,Bristol City
110,Oxford
111,Brighton
112,Leeds
113,Maidstone
114,Sheffield Weds
115,Millwall
116,Plymouth
117,Hayes & Yeading
118,Walsall
119,Portsmouth
120,Stevenage
121,Stoke
122,Watford
123,Leyton Orient
124,Gateshead
125,Wigan
126,Bromley
127,Mansfield
128,Bournemouth
129,Charlton
130,Stockport
131,Solihull
132,Preston
133,Darlington
134,Cheltenham
135,Coventry
136,West Ham
137,Havant & Waterlooville
138,Maidenhead
139,Wealdstone
140,AFC Telford United
141,Fleetwood Town
142,Dag and Red
143,Bradford
144,Man United
145,Burnley
146,Forest Green
147,Barnsley
